"Name","Team","AVG","OBP","SLG","playerid"
"Bryce Harper","PHI",".309",".429",".615","11579"
"Juan Soto","WSN",".313",".465",".534","20123"
"Vladimir Guerrero Jr.","TOR",".311",".401",".601","19611"
"Fernando Tatis Jr.","SDP",".282",".364",".611","19709"
"Shohei Ohtani","LAA",".257",".372",".592","19755"
"Joey Votto","CIN",".266",".375",".563","4314"
"Nick Castellanos","CIN",".309",".362",".576","11737"
"Aaron Judge","NYY",".287",".373",".544","15640"
"Trea Turner","- - -",".328",".375",".536","16252"
"Bryan Reynolds","PIT",".302",".390",".522","19326"
"Tyler O'Neill","STL",".286",".352",".560","15711"
"C.J. Cron","COL",".281",".375",".530","12546"
"Kyle Tucker","HOU",".294",".359",".557","18345"
"Austin Riley","ATL",".303",".367",".531","18360"
"Freddie Freeman","ATL",".300",".393",".503","5361"
"Max Muncy","LAD",".249",".368",".527","13301"
"Matt Olson","OAK",".271",".371",".540","14344"
"Brandon Crawford","SFG",".298",".373",".522","5343"
"Paul Goldschmidt","STL",".294",".365",".514","9218"
"Rafael Devers","BOS",".279",".352",".538","17350"
"Jose Ramirez","CLE",".266",".355",".538","13510"
"Cedric Mullins II","BAL",".291",".360",".518","17929"
"Giancarlo Stanton","NYY",".273",".354",".516","4949"
"Yordan Alvarez","HOU",".277",".346",".531","19556"
"Teoscar Hernandez","TOR",".296",".346",".524","13066"
"Xander Bogaerts","BOS",".295",".370",".493","12161"
"Marcus Semien","TOR",".265",".334",".538","12533"
"Mookie Betts","LAD",".264",".367",".487","13611"
"Starling Marte","- - -",".310",".383",".458","9241"
"J.D. Martinez","BOS",".286",".349",".518","6184"
"Carlos Correa","HOU",".279",".366",".485","14162"
"Brandon Lowe","TBR",".247",".340",".523","18882"
"Yuli Gurriel","HOU",".319",".383",".462","19198"
"Jonathan India","CIN",".269",".376",".459","21523"
"Pete Alonso","NYM",".262",".344",".519","19251"
"Salvador Perez","KCR",".273",".316",".544","7304"
"Justin Turner","LAD",".278",".361",".471","5235"
"Jared Walsh","LAA",".277",".340",".509","18607"
"Jose Altuve","HOU",".278",".350",".489","5417"
"Kris Bryant","- - -",".265",".353",".481","15429"
"Jose Abreu","CHW",".261",".351",".481","15676"
"Bo Bichette","TOR",".298",".343",".484","19612"
"Ty France","SEA",".291",".368",".445","17982"
"Josh Donaldson","MIN",".247",".352",".475","5038"
"Josh Bell","WSN",".261",".347",".476","13145"
"Manny Machado","SDP",".278",".347",".489","11493"
"Randy Arozarena","TBR",".274",".356",".459","19290"
"Willy Adames","- - -",".262",".337",".481","15986"
"Jorge Polanco","MIN",".269",".323",".503","13152"
"Joey Gallo","- - -",".199",".351",".458","14128"
"Yoan Moncada","CHW",".263",".375",".412","17232"
"Michael Brantley","HOU",".311",".362",".437","4106"
"Nelson Cruz","- - -",".265",".334",".497","2434"
"Avisail Garcia","MIL",".262",".330",".490","5760"
"Tim Anderson","CHW",".309",".338",".469","15172"
"Jeimer Candelario","DET",".271",".351",".443","13621"
"Javier Baez","- - -",".265",".319",".494","12979"
"Hunter Renfroe","BOS",".259",".315",".501","15464"
"Trevor Story","COL",".251",".329",".471","12564"
"Jake Cronenworth","SDP",".266",".340",".460","18036"
"Adam Frazier","- - -",".305",".368",".411","15223"
"Luis Urias","MIL",".249",".345",".445","16622"
"Mitch Haniger","SEA",".253",".318",".485","14274"
"Anthony Rizzo","- - -",".248",".344",".440","3473"
"Chris Taylor","LAD",".254",".344",".438","13757"
"Enrique Hernandez","BOS",".250",".337",".449","10472"
"Jean Segura","PHI",".290",".348",".436","5933"
"Robbie Grossman","DET",".239",".357",".415","5254"
"Nathaniel Lowe","TEX",".264",".357",".415","19566"
"Nolan Arenado","STL",".255",".312",".494","9777"
"Ozzie Albies","ATL",".259",".310",".488","16556"
"Dylan Carlson","STL",".266",".343",".437","20126"
"J.T. Realmuto","PHI",".263",".343",".439","11739"
"Ryan Mountcastle","BAL",".255",".309",".487","18373"
"Andrew McCutchen","PHI",".222",".334",".444","9847"
"Eduardo Escobar","- - -",".253",".314",".472","6153"
"Ryan McMahon","COL",".254",".331",".449","15112"
"Alex Verdugo","BOS",".289",".351",".426","17027"
"Jesus Aguilar","MIA",".261",".329",".459","11342"
"Mark Canha","OAK",".231",".358",".387","11445"
"Lourdes Gurriel Jr.","TOR",".276",".319",".466","19238"
"Charlie Blackmon","COL",".270",".351",".411","7859"
"Miguel Sano","MIN",".223",".312",".466","12164"
"Nicky Lopez","KCR",".300",".365",".378","19339"
"Austin Hays","BAL",".256",".308",".461","19363"
"Ian Happ","CHC",".226",".323",".434","17919"
"Andrew Benintendi","KCR",".276",".324",".442","17901"
"Austin Meadows","TBR",".234",".315",".458","15672"
"Josh Rojas","ARI",".264",".341",".411","19734"
"Trey Mancini","BAL",".255",".326",".432","15149"
"Mike Yastrzemski","SFG",".224",".311",".457","14854"
"Yandy Diaz","TBR",".256",".353",".387","16578"
"Josh Harrison","- - -",".279",".341",".400","8202"
"Adam Duvall","- - -",".228",".281",".491","10950"
"Jonathan Schoop","DET",".278",".320",".435","11265"
"Jorge Soler","- - -",".223",".316",".432","14221"
"Dansby Swanson","ATL",".248",".311",".449","18314"
"Trent Grisham","SDP",".242",".327",".413","18564"
"Jonathan Villar","NYM",".249",".322",".416","10071"
"Eric Hosmer","SDP",".269",".337",".395","3516"
"Tommy Pham","SDP",".229",".340",".383","2967"
"Pavin Smith","ARI",".267",".328",".404","19892"
"Francisco Lindor","NYM",".230",".322",".412","12916"
"Kyle Farmer","CIN",".263",".316",".416","14813"
"Amed Rosario","CLE",".282",".321",".409","15518"
"DJ LeMahieu","NYY",".268",".349",".362","9874"
"Adolis Garcia","TEX",".243",".286",".454","19287"
